id,name,address,lat,lon,station_deux_roues,nbre_pdc,puissance_nominale
12071, VITRY LE FRANCOIS - Rue Du Vieux Port,VITRY LE FRANCOIS - Rue Du Vieux Port,48.726141,4.59147,FALSE,2,22
12072, VITRY LE FRANCOIS - Rue Du Vieux Port,Rue Du Vieux Port,48.72614288330078,4.591469764709473,false,2,3.7
12073, Flers Burger King,42 Rue René Prieur 61100 Flers,48.72619677,-0.58068217,false,2,25
12074, VITRY LE FRANCOIS - Rue De La Couronne Des Indes,VITRY LE FRANCOIS - Rue De La Couronne Des Indes,48.727153,4.576532,FALSE,2,22
12075, VITRY LE FRANCOIS - Rue De La Couronne Des Indes,Rue De La Couronne Des Indes,48.72715377807617,4.576531887054443,false,2,22.0
12076, LANNION-BOULEVARD LOUIS GUILLOU PARKING KERMARIA,PARKING KERMARIA,48.727578,-3.456394,false,2,22000
12077, VITRY LE FRANCOIS - Place De La Halle,Place De La Halle,48.72763442993164,4.584530830383301,false,2,3.7
12078, VITRY LE FRANCOIS - Place De La Halle,VITRY LE FRANCOIS - Place De La Halle,48.727635,4.584531,FALSE,2,22
12079, ORY - Parking P4a,  94310 Paray-Vieille-Poste,48.728622,2.367183,FALSE,4,14
12080, SIGEIF - MAIL DE LA JUSTICE  MAROLLES-EN-BRIE,NONE,48.729206,2.542244,false,2,22000
12081, ORY - Parking P4b Rouge, Rue de Berlin 94390 Paray-Vieille-Poste,48.729465,2.366988,FALSE,2,14
12082, ORY - Parking P2, Terminal Ouest  Rue de Cardiff 94390 Paray-Vieille-Poste,48.729836,2.361623,FALSE,8,7
12083, ORY - Parking P4b Vert, Rue de Berlin 94390 Paray-Vieille-Poste,48.729862,2.36904,FALSE,2,14
12084, Intermarché Vitry le François,11 Fbg de Châlons,48.7299155,4.5885722,False,3,50
12085, MASSY - PLACE ST FIACRE,PLACE SAINT FIACRE,48.730156,2.259031,false,2,22000
12086, E.Leclerc Brico Sarrebourg,Rue Des Pêcheurs 57400 Sarrebourg,48.73041824,7.03988977,false,2,22
12087, MASSY - ALLEE DE QUEBEC,ALLÉE DE QUÉBEC,48.730587,2.283376,false,2,22000
12088, SACLAY - STADE,RUE ROBERT THOMAS,48.730614,2.168417,false,2,22000
12089, Buhl-Lorraine Zone Ariane,Zone D’Activite Ariane 57400 Buhl-Lorraine,48.73065177,7.08304118,false,2,22
